E_keV,mu_over_rho_cm2_g,mu_en_over_rho_cm2_g
1,3683,3671
1.5,1643,1632
1.8092,1108,1097
1.84014,1911,1883
1.8716,2901,2853
2,3922,3853
2.281,2828,2781
2.4235,2833,2786
2.5749,2445,2407
2.69447,2339,2301
2.8196,2104,2071
3,1902,1873
4,956.4,940.5
5,553.4,542.3
6,351.4,342.8
8,170.5,164.3
10,96.91,92.04
10.2068,92.01,87.24
10.8548,198.3,168.4
11.544,168.9,144.4
11.8186,226.8,179.7
12.0998,206.5,169.9
15,138.9,117.2
20,65.73,56.97
30,22.73,19.91
40,10.67,9.24
50,5.949,5.05
60,3.713,3.07
69.525,2.552,2.049
80,7.81,2.879
100,4.438,2.1
150,1.581,0.9378
200,0.7844,0.4913
300,0.3238,0.1973
400,0.1925,0.11
500,0.1378,0.0744
600,0.1093,0.05673
800,0.08066,0.04028
1000,0.06618,0.03276
1250,0.05577,0.02761
1500,0.05,0.02484
2000,0.04433,0.02256
3000,0.04075,0.02236
4000,0.04038,0.02363
5000,0.04103,0.0251
6000,0.0421,0.02649
8000,0.04472,0.02886
10000,0.04747,0.03072
15000,0.05384,0.0336
20000,0.05893,0.03475
