world_half_cm,thickness_nm,backing_thickness_um,energies,E_min,E_max,n_rows,rows_ok,rows_clamped,has_nan_mu,nist_overlap
50.0,100.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,100.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,150.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,150.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,250.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,250.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,500.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,500.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,1000.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,1000.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,1500.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,1500.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,2000.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,2000.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,5000.0,0.0,66,1.0,100000.0,66,66,0,0,18
50.0,5000.0,50.0,98,1.0,100000.0,116,116,0,0,50
50.0,10000.0,0.0,24,500.0,100000.0,24,24,0,0,6
50.0,10000.0,50.0,68,1.0,100000.0,74,74,0,0,50
100.0,100.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,100.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,150.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,150.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,200.0,0.0,1,60.0,60.0,1,1,0,0,1
100.0,200.0,50.0,1,60.0,60.0,1,1,0,0,1
100.0,250.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,250.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,300.0,0.0,1,80.0,80.0,1,1,0,0,1
100.0,300.0,50.0,1,80.0,80.0,1,1,0,0,1
100.0,500.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,500.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,1000.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,1000.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,1500.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,1500.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,2000.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,2000.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,5000.0,0.0,66,1.0,100000.0,66,66,0,0,18
100.0,5000.0,50.0,98,1.0,100000.0,116,116,0,0,50
100.0,10000.0,0.0,24,500.0,100000.0,24,24,0,0,6
100.0,10000.0,50.0,68,1.0,100000.0,74,74,0,0,50
100.0,250000.0,0.0,1,500.0,500.0,1,1,0,0,1
100.0,250000.0,50.0,1,500.0,500.0,1,1,0,0,1
100.0,750000.0,0.0,1,1000.0,1000.0,1,1,0,0,1
100.0,750000.0,50.0,1,1000.0,1000.0,1,1,0,0,1
