world_half_cm,thickness_nm,backing_thickness_um,energies,rms_delta_mu_percent,rms_delta_mu_en_percent,score,E_min,E_max,rows,rows_clamped
100.0,750000.0,0.0,1,0.15534496837,0.15534496837,0.15534496837,1000.0,1000.0,1,0
100.0,750000.0,50.0,1,0.29317570879,0.29317570879,0.29317570879,1000.0,1000.0,1,0
100.0,250000.0,50.0,1,0.46820673338,0.46820673338,0.46820673338,500.0,500.0,1,0
100.0,200.0,50.0,1,0.50248614828,0.50248614828,0.50248614828,60.0,60.0,1,0
100.0,300.0,0.0,1,1.1502574868,1.1502574868,1.1502574868,80.0,80.0,1,0
100.0,200.0,0.0,1,1.5937240793,1.5937240793,1.5937240793,60.0,60.0,1,0
100.0,250000.0,0.0,1,1.6866069502,1.6866069502,1.6866069502,500.0,500.0,1,0
100.0,300.0,50.0,1,5.0703213742,5.0703213742,5.0703213742,80.0,80.0,1,0
50.0,10000.0,0.0,24,12.055724755265796,12.055724755265796,12.055724755265796,500.0,100000.0,24,0
100.0,10000.0,0.0,24,12.055724755265796,12.055724755265796,12.055724755265796,500.0,100000.0,24,0
100.0,10000.0,50.0,68,23.743071858397418,23.743071858397418,23.743071858397418,1.0,100000.0,74,0
50.0,10000.0,50.0,68,23.743071858397418,23.743071858397418,23.743071858397418,1.0,100000.0,74,0
50.0,1500.0,50.0,98,34.05087969568872,34.05087969568872,34.05087969568872,1.0,100000.0,116,0
100.0,1500.0,50.0,98,34.05087969568872,34.05087969568872,34.05087969568872,1.0,100000.0,116,0
100.0,2000.0,50.0,98,34.30212606772259,34.30212606772259,34.30212606772259,1.0,100000.0,116,0
50.0,2000.0,50.0,98,34.30212606772259,34.30212606772259,34.30212606772259,1.0,100000.0,116,0
50.0,5000.0,50.0,98,34.42099254038203,34.42099254038203,34.42099254038203,1.0,100000.0,116,0
100.0,5000.0,50.0,98,34.42099254038203,34.42099254038203,34.42099254038203,1.0,100000.0,116,0
50.0,1000.0,50.0,98,34.61143653776721,34.61143653776721,34.61143653776721,1.0,100000.0,116,0
100.0,1000.0,50.0,98,34.61143653776721,34.61143653776721,34.61143653776721,1.0,100000.0,116,0
50.0,500.0,50.0,98,38.27603376929494,38.27603376929494,38.27603376929494,1.0,100000.0,116,0
100.0,500.0,50.0,98,38.27603376929494,38.27603376929494,38.27603376929494,1.0,100000.0,116,0
100.0,5000.0,0.0,66,43.66678235623616,43.66678235623616,43.66678235623616,1.0,100000.0,66,0
50.0,5000.0,0.0,66,43.66678235623616,43.66678235623616,43.66678235623616,1.0,100000.0,66,0
50.0,2000.0,0.0,66,44.31843710811257,44.31843710811257,44.31843710811257,1.0,100000.0,66,0
100.0,2000.0,0.0,66,44.31843710811257,44.31843710811257,44.31843710811257,1.0,100000.0,66,0
100.0,250.0,50.0,98,44.642527310679895,44.642527310679895,44.642527310679895,1.0,100000.0,116,0
50.0,250.0,50.0,98,44.642527310679895,44.642527310679895,44.642527310679895,1.0,100000.0,116,0
50.0,1000.0,0.0,66,45.29625936038831,45.29625936038831,45.29625936038831,1.0,100000.0,66,0
100.0,1000.0,0.0,66,45.29625936038831,45.29625936038831,45.29625936038831,1.0,100000.0,66,0
50.0,150.0,50.0,98,45.7955517932246,45.7955517932246,45.7955517932246,1.0,100000.0,116,0
100.0,150.0,50.0,98,45.7955517932246,45.7955517932246,45.7955517932246,1.0,100000.0,116,0
50.0,1500.0,0.0,66,45.86485199359586,45.86485199359586,45.86485199359586,1.0,100000.0,66,0
100.0,1500.0,0.0,66,45.86485199359586,45.86485199359586,45.86485199359586,1.0,100000.0,66,0
100.0,250.0,0.0,66,46.30223716501242,46.30223716501242,46.30223716501242,1.0,100000.0,66,0
50.0,250.0,0.0,66,46.30223716501242,46.30223716501242,46.30223716501242,1.0,100000.0,66,0
50.0,500.0,0.0,66,47.47706023456529,47.47706023456529,47.47706023456529,1.0,100000.0,66,0
100.0,500.0,0.0,66,47.47706023456529,47.47706023456529,47.47706023456529,1.0,100000.0,66,0
100.0,150.0,0.0,66,58.61870688115066,58.61870688115066,58.61870688115066,1.0,100000.0,66,0
50.0,150.0,0.0,66,58.61870688115066,58.61870688115066,58.61870688115066,1.0,100000.0,66,0
50.0,100.0,0.0,66,61.887683856292384,61.887683856292384,61.887683856292384,1.0,100000.0,66,0
100.0,100.0,0.0,66,61.887683856292384,61.887683856292384,61.887683856292384,1.0,100000.0,66,0
100.0,100.0,50.0,98,63.5223512773452,63.5223512773452,63.5223512773452,1.0,100000.0,116,0
50.0,100.0,50.0,98,63.5223512773452,63.5223512773452,63.5223512773452,1.0,100000.0,116,0
